title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66
Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65
Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62
3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61
If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57
Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57
Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56
You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33
Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
Run the World (Girls),Beyonc�,dance pop,2011,127,90,73,-4,37,76,236,0,14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
Love On Top,Beyonc�,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74
Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73
Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73
Marry You,Bruno Mars,pop,2011,145,83,62,-5,10,48,230,33,4,73
Best Thing I Never Had,Beyonc�,dance pop,2011,99,65,55,-4,9,30,254,14,3,73
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72
We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72
Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72
Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72
Just Can�t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69
What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69
Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,10,32,67
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67
E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66
Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65
I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64
Blow,Kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64
You And I,Lady Gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64
Judas,Lady Gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63
Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63
We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61
Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61
1+1,Beyonc�,dance pop,2011,63,38,30,-7,7,26,274,38,3,60
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59
Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58
S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52
Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46
Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38
Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27
Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74
Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74
Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73
Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25,65,294,4,14,62
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57
Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57
Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13,23,226,1,5,57
Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53
...Ready For It? - BloodPop� Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52
Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44
Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,96
Se�orita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9,67,204,15,8,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92
Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,19,5,90
Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90
Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88
Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,12,19,86
Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,4,6,86
Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8,23,178,30,15,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,9,4,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,5,13,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,-4,8,61,229,2,4,84
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83
All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,48,3,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13,45,236,57,5,81
Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,20,3,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,-7,16,14,261,12,15,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-5,36,91,162,13,5,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,16,23,77
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,17,5,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20,16,176,1,3,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,-6,7,61,206,21,12,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,-5,9,65,260,7,34,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,-6,42,24,217,1,7,69
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67